INDICATOR_ID,INDICATOR_LABEL_EN
10,"Official entrance age to early childhood educational development (years)"
10403,"Start month of the academic school year (tertiary education)"
10404,"End month of the academic school year (tertiary education)"
10405,"Start of the academic school year (tertiary education)"
10406,"End of the academic school year (tertiary education)"
